paper_id,pagerank
107231,0.0001317948648446199
43621,0.00011631120363900764
48937,0.00011505792563540606
27207,0.00011425352728796463
96240,0.00010807565073541423
40173,0.00010477562528610361
83167,0.00010021507459019412
134917,9.354509188192068e-05
24536,9.33082063661468e-05
19262,9.074254524336223e-05
24836,9.069106230954896e-05
108397,8.999634391627809e-05
84016,8.476182229999143e-05
122104,8.454909490584011e-05
27190,8.144260717404234e-05
78272,8.142329498371273e-05
66478,8.078522090504752e-05
110787,7.770476192778791e-05
39148,7.694617370075004e-05
50990,7.68261631819132e-05
54271,7.603444647126665e-05
87744,7.588208266223744e-05
101135,7.489680021563359e-05
27517,7.426508441996645e-05
42967,7.36763055679828e-05
135178,7.333728531600343e-05
106247,7.289452133057914e-05
135056,7.262095563609556e-05
47984,7.250340373556171e-05
31490,7.219588620781047e-05
67576,7.182442291165061e-05
71882,7.112260300859743e-05
62733,7.088980521782236e-05
97085,7.085908090454814e-05
83162,7.080144455344449e-05
110320,7.042828859714972e-05
50957,7.037362181649535e-05
134935,7.032497055088539e-05
41552,6.981787099313559e-05
49902,6.964933575901914e-05
59281,6.883922931264469e-05
39978,6.850802013069071e-05
136199,6.844633334688653e-05
37805,6.804983585350753e-05
87574,6.796669786773398e-05
8956,6.788734942267907e-05
75187,6.756208925195775e-05
61659,6.690780121711073e-05
68685,6.673937951506118e-05
104039,6.670703956438555e-05
27492,6.635234007831707e-05
41625,6.600523185626615e-05
107850,6.594405998403013e-05
40975,6.581196172795666e-05
40973,6.542442808125136e-05
98786,6.502398208237452e-05
87807,6.476590906313324e-05
103703,6.471344007233044e-05
135227,6.461325833435505e-05
27452,6.454839611291994e-05
51316,6.454812186115771e-05
76624,6.438704444995253e-05
54226,6.342128998016132e-05
43295,6.337683407084662e-05
17894,6.3256798629119e-05
17912,6.325032384792902e-05
21805,6.318556139471296e-05
43336,6.270269811808348e-05
43092,6.21157897297782e-05
136187,6.176544068345891e-05
13601,6.167907794388545e-05
104745,6.153197493784338e-05
51260,6.151502216544496e-05
108545,6.138551961291195e-05
72539,6.035901436701621e-05
40619,6.023381259050132e-05
12723,5.9770509220879546e-05
78057,5.970396987782832e-05
80229,5.933873897056589e-05
109956,5.917501766852855e-05
59818,5.90180649101779e-05
32965,5.866766045464046e-05
15562,5.849244101926993e-05
26434,5.841011699167153e-05
135515,5.823367163589609e-05
77087,5.800349007811192e-05
41411,5.76912609317939e-05
72265,5.767134158325311e-05
58623,5.74711652939405e-05
33375,5.741974559393621e-05
26701,5.731917950986321e-05
83190,5.716503407408074e-05
52410,5.6975517086323706e-05
66410,5.688134337696992e-05
88008,5.6809960581464676e-05
38919,5.678925470804566e-05
91121,5.675857577381708e-05
32395,5.668315124401895e-05
110017,5.6631872045015965e-05
34182,5.652216655047135e-05
31501,5.649529829549657e-05
43183,5.632662003442712e-05
90207,5.6114310891375345e-05
11377,5.589256623686711e-05
104560,5.561607343520664e-05
30973,5.55692048677704e-05
48745,5.544132400827785e-05
108930,5.523968804681297e-05
117901,5.510431981400035e-05
83106,5.494571028516746e-05
57928,5.4928899529767784e-05
12890,5.489516112323862e-05
33239,5.4872542783298206e-05
36121,5.468014529541738e-05
54927,5.46664108288689e-05
90638,5.459605468526452e-05
101626,5.456198849193678e-05
67875,5.453049224333991e-05
54215,5.4419739874200055e-05
79111,5.430402170012863e-05
38593,5.4183110326904926e-05
45383,5.415975567962133e-05
46757,5.413866630262257e-05
110449,5.411128601463009e-05
106091,5.407637453438937e-05
91588,5.4070336388411086e-05
94511,5.3846397335012324e-05
136435,5.378741471105378e-05
72465,5.3774790998516636e-05
89993,5.3719373891344865e-05
34152,5.3682604680002066e-05
62993,5.361185682092312e-05
92690,5.35659382832349e-05
121097,5.356193709554083e-05
19035,5.354297005637647e-05
106126,5.345294960307795e-05
45677,5.321433673273574e-05
102467,5.309056143443107e-05
104708,5.2954822584779875e-05
60785,5.293289006051574e-05
70634,5.2868570476336136e-05
64525,5.281885832444065e-05
14609,5.277856771082365e-05
45665,5.27703134578004e-05
27453,5.274730313442485e-05
65764,5.271154742706499e-05
100265,5.2702397472469364e-05
78489,5.264392895651183e-05
84738,5.263532716377882e-05
41054,5.259368222714744e-05
105323,5.258610430473176e-05
72135,5.2579145745626836e-05
91720,5.256813123766011e-05
27585,5.2507991667014846e-05
101993,5.250397761640634e-05
91352,5.2476899121984104e-05
53763,5.247360450515179e-05
47193,5.24454706109609e-05
34151,5.233337183511889e-05
108309,5.2290422461127186e-05
37322,5.2221587343092734e-05
81149,5.2083802223923896e-05
35731,5.206974480984967e-05
69244,5.201853235321234e-05
47094,5.1653036969848266e-05
136076,5.1605751981073566e-05
58431,5.156746595815292e-05
51684,5.142800539546789e-05
64479,5.1424293909628874e-05
104041,5.1418003997035255e-05
133617,5.1342479809872203e-05
36598,5.13367816750639e-05
100562,5.1165932857781455e-05
21643,5.106970131648754e-05
61432,5.102867652675689e-05
41419,5.101248612915452e-05
95763,5.09941970430974e-05
93838,5.096051956124922e-05
17941,5.090939550793134e-05
24921,5.081704634327631e-05
106843,5.068052032637963e-05
56284,5.0522249783539415e-05
121330,5.044301011363906e-05
78380,5.033886728496516e-05
21070,5.009163231519886e-05
88472,5.005990435681678e-05
32538,5.0018055888173614e-05
110455,5.0014008986084364e-05
60112,5.000115629136257e-05
38959,4.9868300214370275e-05
118472,4.982366491185113e-05
27434,4.978295715928066e-05
107063,4.971600137689533e-05
25723,4.9692094418399536e-05
70111,4.956315217298733e-05
43379,4.9545135089164905e-05
59410,4.9533372749182135e-05
23921,4.9472924607144723e-05
19619,4.945688228639007e-05
108656,4.9439512566050434e-05
37469,4.94102449258185e-05
119951,4.938999168030711e-05
67663,4.922622955369294e-05
25794,4.921529829217924e-05
75332,4.9212671608673124e-05
70840,4.902973523555909e-05
61472,4.902660660149483e-05
51314,4.899899041907496e-05
60817,4.897947732159387e-05
64806,4.896779600679077e-05
70081,4.884460935439823e-05
78653,4.8812349246912626e-05
58990,4.880860606794168e-05
51363,4.879411419534693e-05
112210,4.870134950755083e-05
33678,4.8648521031430714e-05
48177,4.861994780288615e-05
28713,4.8614837412263264e-05
81602,4.857873940087462e-05
67705,4.854576641230167e-05
51143,4.846106995555816e-05
50104,4.84285275961002e-05
118198,4.835554766513133e-05
57562,4.8262684700640254e-05
91594,4.824648607041145e-05
135325,4.8202617463459395e-05
111505,4.809749036475032e-05
65079,4.8025169828572024e-05
107718,4.794015151029408e-05
76112,4.789522834889027e-05
75358,4.786908394145764e-05
81685,4.779888706786228e-05
42873,4.774965752889175e-05
35501,4.7510224513737046e-05
78529,4.742914520038365e-05
55961,4.742011896858869e-05
63919,4.737351702743242e-05
98890,4.7373505564495855e-05
12989,4.73530639380571e-05
74759,4.731758049957466e-05
90800,4.730751417499803e-05
54200,4.7266507933142206e-05
72127,4.721598151144475e-05
65077,4.720842900564695e-05
98342,4.7206872016466504e-05
120475,4.719583409284494e-05
108071,4.719487252902938e-05
100248,4.7181072573191124e-05
34915,4.7036584195351994e-05
45995,4.7017054294223164e-05
27524,4.6924154243065335e-05
34696,4.691527469632203e-05
27522,4.689477808462421e-05
42242,4.687454114715227e-05
16615,4.6856863588171914e-05
118159,4.68550759963799e-05
47865,4.674671219281569e-05
98353,4.6743952098333654e-05
121810,4.671034914031869e-05
70091,4.66297288395134e-05
26245,4.661140455083079e-05
104380,4.660995051784621e-05
107963,4.6601179607939405e-05
11264,4.6476358065081546e-05
119344,4.647184402805322e-05
122232,4.639833405549814e-05
76082,4.626202440804667e-05
17479,4.624356175172242e-05
26310,4.620012292487455e-05
43129,4.6158406663532304e-05
60280,4.613436111463218e-05
93588,4.612528916552655e-05
25669,4.611429358160277e-05
38513,4.608891226711077e-05
132934,4.606360155688735e-05
54231,4.6042665716920944e-05
35745,4.603185286226932e-05
51926,4.6022313954994984e-05
36057,4.597653159592288e-05
51931,4.59592548165947e-05
83904,4.595008283248641e-05
119346,4.5822838579308955e-05
65787,4.57638359236726e-05
21870,4.5747830632785584e-05
105373,4.5737111821495917e-05
65065,4.570852154664563e-05
25680,4.5689404480952525e-05
40905,4.562396328803655e-05
102186,4.5613465938232765e-05
91761,4.559543669690363e-05
79739,4.556965198302771e-05
33101,4.55437742694004e-05
40182,4.554216828463314e-05
34997,4.552880803112011e-05
11181,4.547504798767122e-05
104107,4.546624741344136e-05
102119,4.5402778486595984e-05
79238,4.53988568489935e-05
20682,4.532419744445295e-05
74718,4.531761054888593e-05
123665,4.531504552106407e-05
43143,4.52741342369086e-05
33960,4.525571473510424e-05
17259,4.523017977191273e-05
62606,4.502593207843392e-05
66424,4.497970340115218e-05
17202,4.497868481572442e-05
80169,4.496083524489742e-05
27528,4.490206318394689e-05
28094,4.482226812170949e-05
97870,4.481657812921852e-05
109327,4.4761031632219014e-05
56752,4.468888355889148e-05
84470,4.468870257565723e-05
74723,4.4666894547329354e-05
137572,4.463854149902384e-05
106767,4.4609727202124844e-05
83141,4.45957904362776e-05
43013,4.4553401123490894e-05
73808,4.4458032222171315e-05
2534,4.444547336935192e-05
66186,4.439975874542527e-05
120029,4.4362590224475895e-05
103435,4.43415567814923e-05
80244,4.4179935402396875e-05
81140,4.4168786133417154e-05
103930,4.407190927275211e-05
54837,4.406192628548977e-05
79800,4.405424309123837e-05
41591,4.404256278499721e-05
43257,4.39898683241175e-05
32095,4.391970715726453e-05
5157,4.3914066491457624e-05
61618,4.387808024475999e-05
51479,4.387012529688194e-05
96250,4.385636662550952e-05
65659,4.3783899076004324e-05
45753,4.3782787993310124e-05
26051,4.378274944378435e-05
136215,4.3758525691571013e-05
65215,4.3748875815935504e-05
97197,4.373946821222251e-05
101384,4.370629921937232e-05
110220,4.3685104911052426e-05
6563,4.367855744399471e-05
109341,4.363135795591557e-05
106156,4.351807162513568e-05
44034,4.349646801349092e-05
69056,4.349587451042243e-05
8945,4.344307126126008e-05
53917,4.340511445170691e-05
30749,4.339497232375747e-05
109072,4.3323048855380934e-05
29361,4.329657972231495e-05
70076,4.326025091068217e-05
39718,4.325401996085594e-05
48547,4.325028127375162e-05
73728,4.322489981518997e-05
59671,4.3210196725099686e-05
106144,4.3176003746636297e-05
127300,4.3120605457859806e-05
37046,4.311921940105766e-05
64365,4.311037003944255e-05
63969,4.3108034482718447e-05
24142,4.309279140485309e-05
108866,4.30868367739887e-05
100069,4.307846154002608e-05
73389,4.30732951445408e-05
105479,4.304881942677236e-05
101614,4.3047943445594634e-05
14699,4.301708303161308e-05
136207,4.300430241643679e-05
78347,4.300319829449088e-05
41287,4.299343685386583e-05
70366,4.2978566363272254e-05
110696,4.294929911421967e-05
16283,4.293313476696271e-05
45537,4.28763184758937e-05
29513,4.286192084191418e-05
